center      name       ll          lr          cl          cr          rl          rr     
4592.66     FeI        4592.15     4592.30     4592.58     4592.80     4592.85     4593.05
4594.12     VI         4593.80     4593.88     4594.04     4594.20     4594.36     4594.44
4600.75     CrI        4600.50     4600.60     4600.65     4600.86     4601.60     4601.80
4602.95     FeI        4602.50     4602.70     4602.80     4603.10     4603.20     4603.40
4616.13     CrI        4615.70     4615.90     4616.00     4616.25     4616.30     4616.50
4621.93     CrI        4621.40     4621.60     4621.85     4622.00     4622.10     4622.30
4626.18     CrI        4625.55     4625.65     4626.03     4626.33     4626.95     4627.15
4629.35     FeII       4629.00     4629.20     4629.23     4629.47     4629.60     4629.80
4632.91     FeI        4632.40     4632.60     4632.88     4632.96     4633.40     4633.60
4645.19     TiI        4644.80     4645.00     4645.12     4645.30     4645.30     4645.40
4646.17     CrI        4645.65     4645.95     4646.05     4646.30     4647.00     4647.10
4647.44     FeI        4647.00     4647.10     4647.35     4647.60     4647.60     4647.80
4651.29     CrI        4650.90     4651.10     4651.18     4651.47     4651.50     4651.80
4652.16     CrI        4651.70     4651.90     4652.05     4652.28     4652.40     4652.80
4656.47     TiI        4656.28     4656.36     4656.40     4656.58     4656.60     4656.90
4675.11     FeI+TiI    4674.90     4675.00     4675.05     4675.20     4675.20     4675.30
4681.91     TiI        4681.60     4681.80     4681.85     4682.00     4682.67     4682.86
4715.30     TiI        4715.10     4715.20     4715.25     4715.35     4715.40     4715.50
4722.16     ZnI        4721.80     4722.00     4722.05     4722.28     4722.35     4722.50
4722.61     TiI        4722.40     4722.50     4722.53     4722.70     4722.75     4723.00
4723.16     TiI        4722.80     4722.95     4723.05     4723.25     4723.35     4723.70
4733.60     FeI        4733.00     4733.15     4733.50     4733.75     4734.25     4734.35
4736.78     FeI        4736.15     4736.35     4736.70     4736.87     4737.95     4738.50
4754.04     MnI        4753.30     4753.75     4753.95     4754.17     4755.35     4755.60
4759.27     TiI        4759.05     4759.15     4759.20     4759.35     4759.40     4759.70
4761.53     MnI        4761.30     4761.40     4761.47     4761.61     4761.80     4762.00
4762.38     MnI        4761.90     4762.10     4762.30     4762.50     4762.90     4763.10
4772.82     FeI        4772.40     4772.60     4772.71     4772.95     4772.95     4773.10
4783.42     MnI        4782.38     4782.68     4783.17     4783.67     4784.12     4784.40
4823.51     MnI        4822.75     4823.00     4823.40     4823.63     4823.75     4823.90
4827.46     VI         4827.00     4827.30     4827.40     4827.55     4827.70     4828.00
4831.65     VI         4831.45     4831.55     4831.59     4831.75     4831.80     4831.90
4832.43     VI         4832.15     4832.25     4832.35     4832.53     4832.53     4832.60
4840.88     TiI+FeI    4840.50     4840.70     4840.79     4841.01     4841.05     4841.30
4851.50     VI         4851.26     4851.32     4851.44     4851.56     4851.68     4851.74
4859.75     FeI        4859.35     4859.50     4859.60     4859.90     4860.00     4860.18
4861.33     Hbeta      4860.30     4860.80     4860.80     4861.87     4862.00     4862.40
