filename	bjd	rv	rvc	logS
HARPS.2007-03-02T07:08:57.839	2454161.79875	-22.142584360300003	5.312347561314823e-05	-1.38664710284
HARPS.2007-03-02T07:09:33.771	2454161.79917	-22.142278340500003	0.00035934444128926657	-1.38415696859
HARPS.2007-03-02T07:10:09.792	2454161.79959	-22.14213586	0.0005020112058069515	-1.38749028645
HARPS.2007-04-02T07:36:38.181	2454192.81999	-22.1559006635	0.0015717905114414066	-1.39315395754
HARPS.2007-04-02T07:37:14.354	2454192.8204	-22.1540579863	0.0034146539759554173	-1.39530535438
HARPS.2007-04-02T07:37:50.336	2454192.82082	-22.1541834069	0.0032894494427928578	-1.39166961729
HARPS.2007-04-02T07:38:26.368	2454192.82124	-22.1546696494	0.002803408108469796	-1.39502669339
HARPS.2007-04-02T07:39:02.720	2454192.82166	-22.1533253677	0.004147890974145696	-1.3946234988400001
HARPS.2007-04-02T07:39:38.392	2454192.82207	-22.1535520404	0.003921404538658635	-1.39327256926
HARPS.2007-04-02T07:40:15.343	2454192.8225	-22.1544912585	0.0029823801537567363	-1.39360576421
HARPS.2007-04-02T07:40:51.356	2454192.8229099996	-22.154455697800003	0.003018134568847586	-1.39451004194
HARPS.2007-04-02T07:41:27.717	2454192.82334	-22.1544151919	0.003058856535687937	-1.39391574884
HARPS.2007-04-02T07:42:03.369	2454192.82375	-22.154762877899998	0.002711364250785664	-1.3919598447600001
HARPS.2007-04-02T07:42:39.351	2454192.82417	-22.153626702199997	0.0038477411164627995	-1.3906150893
HARPS.2007-04-02T07:43:15.333	2454192.82458	-22.1534295605	0.004045106333876447	-1.3939325205000002
HARPS.2007-04-13T03:28:46.212	2454203.6484	-22.1589758611	0.00368176487322458	-1.3878425296599999
HARPS.2007-04-13T03:29:22.063	2454203.6488099997	-22.1561427617	0.006515057988320194	-1.38720066162
HARPS.2007-04-13T03:29:58.013	2454203.64923	-22.1549903554	0.00766766545399733	-1.39057320965
HARPS.2007-04-13T03:30:34.038	2454203.64965	-22.1557107925	0.0069474220690928234	-1.38660374933
HARPS.2007-04-13T03:31:10.010	2454203.65006	-22.155928469899997	0.006729930933609296	-1.3881481222799998
HARPS.2007-04-13T03:31:46.032	2454203.65048	-22.1550045769	0.0076540400004425635	-1.3866547186000002
HARPS.2007-04-13T03:32:22.003	2454203.6509	-22.1578467427	0.004812067915541007	-1.38749539508
HARPS.2007-04-13T03:32:58.025	2454203.6513099996	-22.1588081798	0.0038508394317950945	-1.39118048535
HARPS.2007-04-13T03:33:34.217	2454203.65173	-22.1595451877	0.0031140326974714583	-1.3886226156900001
HARPS.2007-04-13T03:34:09.989	2454203.65215	-22.1572523492	0.005407064912567705	-1.3868625484200001
HARPS.2007-04-13T03:34:46.011	2454203.65256	-22.157373576599998	0.005286046128826882	-1.38881726947
HARPS.2007-04-13T03:35:22.073	2454203.65298	-22.156785522600003	0.005874293843916689	-1.38764980589
HARPS.2007-05-26T01:51:11.616	2454246.58152	-22.185925864899996	-0.002674349869135284	-1.39519632567
HARPS.2007-05-26T01:51:47.298	2454246.5819200003	-22.1787681996	0.004483516596536674	-1.39530523032
HARPS.2007-05-26T01:52:23.260	2454246.58234	-22.1758896473	0.007362262611632531	-1.3914039254799997
HARPS.2007-05-26T01:52:59.081	2454246.58275	-22.175731450100002	0.007520660977306193	-1.3903564709399998
HARPS.2007-05-26T01:53:34.803	2454246.58317	-22.177948832800002	0.005303471992402109	-1.3947020340399998
HARPS.2007-05-26T01:54:46.109	2454246.58399	-22.178313008699998	0.004939683522596994	-1.3960310707799999
HARPS.2007-05-26T01:55:57.922	2454246.58483	-22.179303884499998	0.003949217504530367	-1.394658225
HARPS.2007-05-26T01:56:34.014	2454246.58524	-22.179209692399997	0.004043603319626499	-1.39679007998
HARPS.2007-05-26T01:57:09.976	2454246.58566	-22.1799033773	0.003350112134718586	-1.39486531166
